team_1,team_2,date,score_1,score_2,posse_1,posse_2,acerto_1,acerto_2,chutes_1,chutes_2,defesas_1,defesas_2,y_cards_1,y_cards_2,r_cards_1,r_cards_2,faltas_1,faltas_2,escanteios_1,escanteios_2,cruzamentos_1,cruzamentos_2,contatos_1,contatos_2,jogada_aerea_1,jogada_aerea_2,defesas_1,defesas_2,impedimento_1,impedimento_2,tiro_meta_1,tiro_meta_2,lateral_1,lateral_2,home_away,league
Monaco,Lille," domingo Outubro 23, 2022",3,4,0.41,0.59,0.72,0.82,0.67,0.35,7,18,2,1,0,0,10,8,6,6,14,8,451,621,16,9,7,18,5,3,8,1,15,18,away,France-1
Lens,Toulouse," sexta-feira Outubro 28, 2022",3,0,0.52,0.48,0.81,0.75,0.58,0.0,17,12,2,1,0,0,12,13,6,8,16,20,556,503,12,7,17,12,0,0,7,7,15,26,home,France-1
Toulouse,Lens," sexta-feira Outubro 28, 2022",0,3,0.48,0.52,0.75,0.81,0.0,0.58,12,17,1,2,0,0,13,12,8,6,20,16,503,556,7,12,12,17,0,0,7,7,26,15,away,France-1
ParisSaint-Germain,Troyes," sábado Outubro 29, 2022",4,3,0.67,0.33,0.9,0.83,0.56,0.31,5,17,0,3,0,0,9,12,8,4,10,12,822,482,7,4,5,17,2,1,7,6,13,13,home,France-1
Troyes,ParisSaint-Germain," sábado Outubro 29, 2022",3,4,0.33,0.67,0.83,0.9,0.31,0.56,17,5,3,0,0,0,12,9,4,8,12,10,482,822,4,7,17,5,1,2,6,7,13,13,away,France-1
Strasbourg,Marseille," sábado Outubro 29, 2022",2,2,0.51,0.49,0.79,0.81,0.42,0.31,12,16,0,2,0,0,14,11,3,0,20,8,617,605,14,11,12,16,0,0,4,5,24,13,home,France-1
Marseille,Strasbourg," sábado Outubro 29, 2022",2,2,0.49,0.51,0.81,0.79,0.31,0.42,16,12,2,0,0,0,11,14,0,3,8,20,605,617,11,14,16,12,0,0,5,4,13,24,away,France-1
Auxerre,Ajaccio," domingo Outubro 30, 2022",1,0,0.41,0.59,0.78,0.81,0.28,0.2,34,17,1,1,1,1,13,12,5,5,11,22,504,627,17,21,34,17,0,3,4,11,19,26,home,France-1
Ajaccio,Auxerre," domingo Outubro 30, 2022",0,1,0.59,0.41,0.81,0.78,0.2,0.28,17,34,1,1,1,1,12,13,5,5,22,11,627,504,21,17,17,34,3,0,11,4,26,19,away,France-1
Rennes,Montpellier," domingo Outubro 30, 2022",3,0,0.55,0.45,0.83,0.78,0.21,0.38,16,16,1,2,0,0,15,12,3,4,17,19,660,556,11,12,16,16,0,5,6,9,16,16,home,France-1
Montpellier,Rennes," domingo Outubro 30, 2022",0,3,0.45,0.55,0.78,0.83,0.38,0.21,16,16,2,1,0,0,12,15,4,3,19,17,556,660,12,11,16,16,5,0,9,6,16,16,away,France-1
Monaco,Angers," domingo Outubro 30, 2022",2,0,0.52,0.48,0.79,0.82,0.57,0.43,4,21,3,3,0,0,18,15,7,0,27,6,603,593,5,7,4,21,1,2,6,4,11,12,home,France-1
Angers,Monaco," domingo Outubro 30, 2022",0,2,0.48,0.52,0.82,0.79,0.43,0.57,21,4,3,3,0,0,15,18,0,7,6,27,593,603,7,5,21,4,2,1,4,6,12,11,away,France-1
Brest,Reims," domingo Outubro 30, 2022",0,0,0.51,0.49,0.75,0.74,0.33,0.27,20,14,1,1,0,0,15,13,5,5,16,18,586,559,17,12,20,14,5,2,11,9,25,25,home,France-1
Reims,Brest," domingo Outubro 30, 2022",0,0,0.49,0.51,0.74,0.75,0.27,0.33,14,20,1,1,0,0,13,15,5,5,18,16,559,586,12,17,14,20,2,5,9,11,25,25,away,France-1
Nantes,ClermontFoot," domingo Outubro 30, 2022",1,1,0.55,0.45,0.79,0.77,0.31,0.6,14,21,0,2,0,0,15,9,2,2,31,13,679,593,17,26,14,21,0,1,6,9,25,20,home,France-1
ClermontFoot,Nantes," domingo Outubro 30, 2022",1,1,0.45,0.55,0.77,0.79,0.6,0.31,21,14,2,0,0,0,9,15,2,2,13,31,593,679,26,17,21,14,1,0,9,6,20,25,away,France-1
Lorient,Nice," domingo Outubro 30, 2022",1,2,0.44,0.56,0.84,0.89,0.5,0.31,12,15,0,1,0,0,7,7,8,3,13,15,605,781,10,5,12,15,2,1,8,6,15,12,home,France-1
Nice,Lorient," domingo Outubro 30, 2022",2,1,0.56,0.44,0.89,0.84,0.31,0.5,15,12,1,0,0,0,7,7,3,8,15,13,781,605,5,10,15,12,1,2,6,8,12,15,away,France-1
Lyon,Lille," domingo Outubro 30, 2022",1,0,0.45,0.55,0.78,0.82,0.5,0.33,21,14,3,1,0,0,11,15,3,6,11,15,598,702,10,16,21,14,2,1,6,2,19,27,home,France-1
Lille,Lyon," domingo Outubro 30, 2022",0,1,0.55,0.45,0.82,0.78,0.33,0.5,14,21,1,3,0,0,15,11,6,3,15,11,702,598,16,10,14,21,1,2,2,6,27,19,away,France-1
Troyes,Auxerre," sexta-feira Novembro 4, 2022",1,1,0.5,0.5,0.82,0.85,0.24,0.15,17,31,2,0,0,0,9,10,10,5,27,25,627,637,14,9,17,31,0,2,9,9,17,12,home,France-1
Auxerre,Troyes," sexta-feira Novembro 4, 2022",1,1,0.5,0.5,0.85,0.82,0.15,0.24,31,17,0,2,0,0,10,9,5,10,25,27,637,627,9,14,31,17,2,0,9,9,12,17,away,France-1
Ajaccio,Strasbourg," sábado Novembro 5, 2022",4,2,0.49,0.51,0.77,0.77,0.56,0.56,21,11,0,4,1,0,15,20,4,3,17,20,500,507,14,21,21,11,1,0,4,5,17,17,home,France-1
Strasbourg,Ajaccio," sábado Novembro 5, 2022",2,4,0.51,0.49,0.77,0.77,0.56,0.56,11,21,4,0,0,1,20,15,3,4,20,17,507,500,21,14,11,21,0,1,5,4,17,17,away,France-1
Angers,Lens," sábado Novembro 5, 2022",1,2,0.44,0.56,0.83,0.85,0.5,0.33,12,6,1,2,0,0,16,6,3,4,7,19,555,688,9,7,12,6,0,2,6,2,14,21,home,France-1
Lens,Angers," sábado Novembro 5, 2022",2,1,0.56,0.44,0.85,0.83,0.33,0.5,6,12,2,1,0,0,6,16,4,3,19,7,688,555,7,9,6,12,2,0,2,6,21,14,away,France-1
Lorient,ParisSaint-Germain," domingo Novembro 6, 2022",1,2,0.41,0.59,0.82,0.89,0.22,0.47,23,15,1,1,0,0,10,9,5,8,16,24,536,727,7,9,23,15,0,0,5,6,11,18,home,France-1
ParisSaint-Germain,Lorient," domingo Novembro 6, 2022",2,1,0.59,0.41,0.89,0.82,0.47,0.22,15,23,1,1,0,0,9,10,8,5,24,16,727,536,9,7,15,23,0,0,6,5,18,11,away,France-1
Toulouse,Monaco," domingo Novembro 6, 2022",0,2,0.48,0.52,0.72,0.76,0.38,0.42,17,13,0,1,0,0,9,11,7,6,17,20,565,596,17,15,17,13,2,2,11,6,17,23,home,France-1
Monaco,Toulouse," domingo Novembro 6, 2022",2,0,0.52,0.48,0.76,0.72,0.42,0.38,13,17,1,0,0,0,11,9,6,7,20,17,596,565,15,17,13,17,2,2,6,11,23,17,away,France-1
Reims,Nantes," domingo Novembro 6, 2022",1,0,0.57,0.43,0.78,0.7,0.38,0.27,19,21,2,4,0,0,7,14,10,4,27,15,668,541,17,14,19,21,1,0,3,10,22,21,home,France-1
Nantes,Reims," domingo Novembro 6, 2022",0,1,0.43,0.57,0.7,0.78,0.27,0.38,21,19,4,2,0,0,14,7,4,10,15,27,541,668,14,17,21,19,0,1,10,3,21,22,away,France-1
Nice,Brest," domingo Novembro 6, 2022",1,0,0.56,0.44,0.86,0.8,0.64,0.17,23,11,1,1,0,0,6,11,2,6,14,20,731,578,10,11,23,11,5,2,7,4,11,19,home,France-1
Brest,Nice," domingo Novembro 6, 2022",0,1,0.44,0.56,0.8,0.86,0.17,0.64,11,23,1,1,0,0,11,6,6,2,20,14,578,731,11,10,11,23,2,5,4,7,19,11,away,France-1
ClermontFoot,Montpellier," domingo Novembro 6, 2022",1,1,0.54,0.46,0.72,0.71,0.43,0.33,13,20,1,2,0,0,14,17,5,1,27,12,563,508,24,13,13,20,1,1,12,5,29,20,home,France-1
Montpellier,ClermontFoot," domingo Novembro 6, 2022",1,1,0.46,0.54,0.71,0.72,0.33,0.43,20,13,2,1,0,0,17,14,1,5,12,27,508,563,13,24,20,13,1,1,5,12,20,29,away,France-1
Lille,Rennes," domingo Novembro 6, 2022",1,1,0.62,0.38,0.84,0.73,0.37,0.5,4,21,4,1,0,1,9,14,6,2,15,6,707,489,19,14,4,21,1,0,1,7,17,15,home,France-1
Rennes,Lille," domingo Novembro 6, 2022",1,1,0.38,0.62,0.73,0.84,0.5,0.37,21,4,1,4,1,0,14,9,2,6,6,15,489,707,14,19,21,4,0,1,7,1,15,17,away,France-1
Marseille,Lyon," domingo Novembro 6, 2022Choc des Olympiques",1,0,0.47,0.53,0.77,0.79,0.33,0.36,14,12,0,1,0,0,9,13,6,4,20,18,615,667,12,14,14,12,2,0,5,6,23,19,home,France-1
Lyon,Marseille," domingo Novembro 6, 2022Choc des Olympiques",0,1,0.53,0.47,0.79,0.77,0.36,0.33,12,14,1,0,0,0,13,9,4,6,18,20,667,615,14,12,12,14,0,2,6,5,19,23,away,France-1
Lyon,Nice," sexta-feira Novembro 11, 2022",1,1,0.63,0.37,0.86,0.79,0.25,0.17,5,21,1,0,0,0,7,7,3,4,21,10,791,543,13,7,5,21,0,3,8,7,22,14,home,France-1
Nice,Lyon," sexta-feira Novembro 11, 2022",1,1,0.37,0.63,0.79,0.86,0.17,0.25,21,5,0,1,0,0,7,7,4,3,10,21,543,791,7,13,21,5,3,0,7,8,14,22,away,France-1
Lens,ClermontFoot," sábado Novembro 12, 2022",2,1,0.61,0.39,0.83,0.72,0.19,0.4,3,17,1,3,0,0,19,17,5,3,34,9,637,457,8,5,3,17,2,3,3,7,14,15,home,France-1
ClermontFoot,Lens," sábado Novembro 12, 2022",1,2,0.39,0.61,0.72,0.83,0.4,0.19,17,3,3,1,0,0,17,19,3,5,9,34,457,637,5,8,17,3,3,2,7,3,15,14,away,France-1
Rennes,Toulouse," sábado Novembro 12, 2022",2,1,0.46,0.54,0.78,0.79,0.5,0.4,18,13,0,0,0,0,9,10,4,4,12,19,580,632,16,12,18,13,2,4,4,8,16,22,home,France-1
Toulouse,Rennes," sábado Novembro 12, 2022",1,2,0.54,0.46,0.79,0.78,0.4,0.5,13,18,0,0,0,0,10,9,4,4,19,12,632,580,12,16,13,18,4,2,8,4,22,16,away,France-1
ParisSaint-Germain,Auxerre," domingo Novembro 13, 2022",5,0,0.59,0.41,0.88,0.81,0.67,0.3,11,8,0,0,0,0,5,7,3,7,9,13,755,565,9,7,11,8,3,0,7,8,7,7,home,France-1
Auxerre,ParisSaint-Germain," domingo Novembro 13, 2022",0,5,0.41,0.59,0.81,0.88,0.3,0.67,8,11,0,0,0,0,7,5,7,3,13,9,565,755,7,9,8,11,0,3,8,7,7,7,away,France-1
Lille,Angers," domingo Novembro 13, 2022",1,0,0.58,0.42,0.86,0.78,0.44,0.25,15,8,3,1,1,0,18,12,2,6,8,17,728,531,8,19,15,8,2,1,5,5,22,19,home,France-1
Angers,Lille," domingo Novembro 13, 2022",0,1,0.42,0.58,0.78,0.86,0.25,0.44,8,15,1,3,0,1,12,18,6,2,17,8,531,728,19,8,8,15,1,2,5,5,19,22,away,France-1
Montpellier,Reims," domingo Novembro 13, 2022",1,1,0.49,0.51,0.66,0.71,0.5,0.24,19,35,2,2,0,0,15,15,11,7,38,19,543,566,17,20,19,35,1,2,7,10,31,31,home,France-1
Reims,Montpellier," domingo Novembro 13, 2022",1,1,0.51,0.49,0.71,0.66,0.24,0.5,35,19,2,2,0,0,15,15,7,11,19,38,566,543,20,17,35,19,2,1,10,7,31,31,away,France-1
Brest,Troyes," domingo Novembro 13, 2022",2,1,0.54,0.46,0.8,0.78,0.23,0.25,10,16,3,2,0,1,13,12,5,5,21,15,569,504,11,10,10,16,2,2,7,16,14,13,home,France-1
Troyes,Brest," domingo Novembro 13, 2022",1,2,0.46,0.54,0.78,0.8,0.25,0.23,16,10,2,3,1,0,12,13,5,5,15,21,504,569,10,11,16,10,2,2,16,7,13,14,away,France-1
Nantes,Ajaccio," domingo Novembro 13, 2022",2,2,0.53,0.47,0.76,0.71,0.33,0.25,20,26,3,4,0,0,16,17,9,6,22,23,529,477,30,20,20,26,1,2,8,5,18,17,home,France-1
Ajaccio,Nantes," domingo Novembro 13, 2022",2,2,0.47,0.53,0.71,0.76,0.25,0.33,26,20,4,3,0,0,17,16,6,9,23,22,477,529,20,30,26,20,2,1,5,8,17,18,away,France-1
Strasbourg,Lorient," domingo Novembro 13, 2022",1,1,0.61,0.39,0.81,0.75,0.2,0.33,9,45,4,1,0,0,9,9,4,2,40,5,782,563,23,12,9,45,2,1,5,11,19,23,home,France-1
Lorient,Strasbourg," domingo Novembro 13, 2022",1,1,0.39,0.61,0.75,0.81,0.33,0.2,45,9,1,4,0,0,9,9,2,4,5,40,563,782,12,23,45,9,1,2,11,5,23,19,away,France-1
Monaco,Marseille," domingo Novembro 13, 2022",2,3,0.42,0.58,0.77,0.86,0.5,0.27,10,22,3,1,0,0,17,9,5,4,21,13,506,699,15,8,10,22,0,1,9,6,12,12,home,France-1
Marseille,Monaco," domingo Novembro 13, 2022",3,2,0.58,0.42,0.86,0.77,0.27,0.5,22,10,1,3,0,0,9,17,4,5,13,21,699,506,8,15,22,10,1,0,6,9,12,12,away,France-1
Ajaccio,Angers," quarta-feira Dezembro 28, 2022",1,0,0.46,0.54,0.75,0.78,0.2,0.29,21,16,1,0,0,0,13,13,3,5,13,23,516,589,10,23,21,16,2,2,9,5,26,27,home,France-1
Angers,Ajaccio," quarta-feira Dezembro 28, 2022",0,1,0.54,0.46,0.78,0.75,0.29,0.2,16,21,0,1,0,0,13,13,5,3,23,13,589,516,23,10,16,21,2,2,5,9,27,26,away,France-1
Troyes,Nantes," quarta-feira Dezembro 28, 2022",0,0,0.56,0.44,0.83,0.81,0.33,0.26,22,23,0,2,0,0,9,12,4,4,15,30,722,627,9,17,22,23,0,0,6,6,22,15,home,France-1
Nantes,Troyes," quarta-feira Dezembro 28, 2022",0,0,0.44,0.56,0.81,0.83,0.26,0.33,23,22,2,0,0,0,12,9,4,4,30,15,627,722,17,9,23,22,0,0,6,6,15,22,away,France-1
Auxerre,Monaco," quarta-feira Dezembro 28, 2022",2,3,0.38,0.62,0.75,0.79,0.5,0.4,18,14,1,0,0,0,9,15,1,3,12,17,505,712,18,15,18,14,3,2,7,6,16,30,home,France-1
Monaco,Auxerre," quarta-feira Dezembro 28, 2022",3,2,0.62,0.38,0.79,0.75,0.4,0.5,14,18,0,1,0,0,15,9,3,1,17,12,712,505,15,18,14,18,2,3,6,7,30,16,away,France-1
ClermontFoot,Lille," quarta-feira Dezembro 28, 2022",0,2,0.43,0.57,0.75,0.81,0.33,0.15,10,19,4,2,0,0,9,17,3,3,14,6,535,675,16,9,10,19,3,3,6,1,22,23,home,France-1
Lille,ClermontFoot," quarta-feira Dezembro 28, 2022",2,0,0.57,0.43,0.81,0.75,0.15,0.33,19,10,2,4,0,0,17,9,3,3,6,14,675,535,9,16,19,10,3,3,1,6,23,22,away,France-1
Brest,Lyon," quarta-feira Dezembro 28, 2022",2,4,0.43,0.57,0.74,0.84,0.29,0.5,18,20,2,2,0,0,8,19,6,6,27,16,492,631,15,6,18,20,1,0,7,11,21,17,home,France-1
Lyon,Brest," quarta-feira Dezembro 28, 2022",4,2,0.57,0.43,0.84,0.74,0.5,0.29,20,18,2,2,0,0,19,8,6,6,16,27,631,492,6,15,20,18,0,1,11,7,17,21,away,France-1
ParisSaint-Germain,Strasbourg," quarta-feira Dezembro 28, 2022",2,1,0.71,0.29,0.89,0.79,0.56,0.25,7,25,4,1,0,0,9,13,8,3,16,11,912,467,3,10,7,25,3,0,8,5,28,8,home,France-1
Strasbourg,ParisSaint-Germain," quarta-feira Dezembro 28, 2022",1,2,0.29,0.71,0.79,0.89,0.25,0.56,25,7,1,4,0,0,13,9,3,8,11,16,467,912,10,3,25,7,0,3,5,8,8,28,away,France-1
Lorient,Montpellier," quinta-feira Dezembro 29, 2022",0,2,0.48,0.52,0.81,0.77,0.33,0.43,8,14,3,4,0,0,15,15,5,2,21,13,623,630,16,14,8,14,0,2,5,10,21,21,home,France-1
Montpellier,Lorient," quinta-feira Dezembro 29, 2022",2,0,0.52,0.48,0.77,0.81,0.43,0.33,14,8,4,3,0,0,15,15,2,5,13,21,630,623,14,16,14,8,2,0,10,5,21,21,away,France-1
Reims,Rennes," quinta-feira Dezembro 29, 2022",3,1,0.34,0.66,0.68,0.82,0.4,0.45,14,15,2,2,0,0,8,8,4,6,13,20,442,749,14,16,14,15,5,3,4,7,16,21,home,France-1
Rennes,Reims," quinta-feira Dezembro 29, 2022",1,3,0.66,0.34,0.82,0.68,0.45,0.4,15,14,2,2,0,0,8,8,6,4,20,13,749,442,16,14,15,14,3,5,7,4,21,16,away,France-1
Marseille,Toulouse," quinta-feira Dezembro 29, 2022",6,1,0.51,0.49,0.81,0.78,0.5,0.44,22,10,1,2,0,0,14,8,1,6,10,19,614,580,15,8,22,10,0,0,4,6,19,22,home,France-1
Toulouse,Marseille," quinta-feira Dezembro 29, 2022",1,6,0.49,0.51,0.78,0.81,0.44,0.5,10,22,2,1,0,0,8,14,6,1,19,10,580,614,8,15,10,22,0,0,6,4,22,19,away,France-1
Nice,Lens," quinta-feira Dezembro 29, 2022",0,0,0.41,0.59,0.82,0.88,0.56,0.2,11,13,2,3,0,0,11,18,4,6,9,16,520,703,7,10,11,13,2,3,8,2,14,12,home,France-1
Lens,Nice," quinta-feira Dezembro 29, 2022",0,0,0.59,0.41,0.88,0.82,0.2,0.56,13,11,3,2,0,0,18,11,6,4,16,9,703,520,10,7,13,11,3,2,2,8,12,14,away,France-1
Toulouse,Ajaccio," domingo Janeiro 1, 2023",2,0,0.62,0.38,0.8,0.67,0.36,0.0,9,15,3,1,0,0,15,15,5,2,19,11,702,468,20,14,9,15,3,1,3,13,13,27,home,France-1
Ajaccio,Toulouse," domingo Janeiro 1, 2023",0,2,0.38,0.62,0.67,0.8,0.0,0.36,15,9,1,3,0,0,15,15,2,5,11,19,468,702,14,20,15,9,1,3,13,3,27,13,away,France-1
Monaco,Brest," domingo Janeiro 1, 2023",1,0,0.51,0.49,0.81,0.76,0.29,0.46,17,14,3,4,0,0,23,14,7,5,17,18,614,566,23,17,17,14,1,2,4,10,19,19,home,France-1
Brest,Monaco," domingo Janeiro 1, 2023",0,1,0.49,0.51,0.76,0.81,0.46,0.29,14,17,4,3,0,0,14,23,5,7,18,17,566,614,17,23,14,17,2,1,10,4,19,19,away,France-1
Angers,Lorient," domingo Janeiro 1, 2023",1,2,0.42,0.58,0.78,0.82,0.4,0.5,21,13,3,0,0,0,16,9,7,7,19,15,524,668,13,14,21,13,3,0,3,8,23,31,home,France-1
Lorient,Angers," domingo Janeiro 1, 2023",2,1,0.58,0.42,0.82,0.78,0.5,0.4,13,21,0,3,0,0,9,16,7,7,15,19,668,524,14,13,13,21,0,3,8,3,31,23,away,France-1
Nantes,Auxerre," domingo Janeiro 1, 2023",1,0,0.5,0.5,0.76,0.75,0.3,0.43,23,19,1,2,0,0,10,19,3,7,14,21,577,566,25,28,23,19,1,0,9,8,19,23,home,France-1
Auxerre,Nantes," domingo Janeiro 1, 2023",0,1,0.5,0.5,0.75,0.76,0.43,0.3,19,23,2,1,0,0,19,10,7,3,21,14,566,577,28,25,19,23,0,1,8,9,23,19,away,France-1
Lyon,ClermontFoot," domingo Janeiro 1, 2023",0,1,0.6,0.4,0.85,0.75,0.15,0.17,14,10,1,3,0,0,21,13,7,4,13,7,712,512,12,6,14,10,0,2,3,8,19,19,home,France-1
ClermontFoot,Lyon," domingo Janeiro 1, 2023",1,0,0.4,0.6,0.75,0.85,0.17,0.15,10,14,3,1,0,0,13,21,4,7,7,13,512,712,6,12,10,14,2,0,8,3,19,19,away,France-1
Lens,ParisSaint-Germain," domingo Janeiro 1, 2023",3,1,0.41,0.59,0.8,0.87,0.4,0.38,23,10,2,3,0,0,16,12,3,7,6,19,547,713,8,5,23,10,3,0,3,5,11,17,home,France-1
ParisSaint-Germain,Lens," domingo Janeiro 1, 2023",1,3,0.59,0.41,0.87,0.8,0.38,0.4,10,23,3,2,0,0,12,16,7,3,19,6,713,547,5,8,10,23,0,3,5,3,17,11,away,France-1
Strasbourg,Troyes," segunda-feira Janeiro 2, 2023",2,3,0.56,0.44,0.79,0.74,0.41,0.56,5,32,1,2,0,0,10,12,3,1,21,2,697,587,41,23,5,32,3,2,5,10,28,13,home,France-1
Troyes,Strasbourg," segunda-feira Janeiro 2, 2023",3,2,0.44,0.56,0.74,0.79,0.56,0.41,32,5,2,1,0,0,12,10,1,3,2,21,587,697,23,41,32,5,2,3,10,5,13,28,away,France-1
Lille,Reims," segunda-feira Janeiro 2, 2023",1,1,0.61,0.39,0.87,0.79,0.36,0.67,13,10,1,1,0,0,8,12,5,1,13,8,764,524,8,6,13,10,1,3,2,7,21,28,home,France-1
Reims,Lille," segunda-feira Janeiro 2, 2023",1,1,0.39,0.61,0.79,0.87,0.67,0.36,10,13,1,1,0,0,12,8,1,5,8,13,524,764,6,8,10,13,3,1,7,2,28,21,away,France-1
Montpellier,Marseille," segunda-feira Janeiro 2, 2023",1,2,0.41,0.59,0.74,0.82,0.0,0.41,17,13,2,2,0,1,10,14,5,7,18,24,466,637,12,8,17,13,3,2,3,8,23,20,home,France-1
Marseille,Montpellier," segunda-feira Janeiro 2, 2023",2,1,0.59,0.41,0.82,0.74,0.41,0.0,13,17,2,2,1,0,14,10,7,5,24,18,637,466,8,12,13,17,2,3,8,3,20,23,away,France-1
Rennes,Nice," segunda-feira Janeiro 2, 2023",2,1,0.62,0.38,0.86,0.77,0.25,0.5,6,25,1,1,0,0,16,7,5,2,21,6,788,529,10,13,6,25,1,1,6,9,15,20,home,France-1
Nice,Rennes," segunda-feira Janeiro 2, 2023",1,2,0.38,0.62,0.77,0.86,0.5,0.25,25,6,1,1,0,0,7,16,2,5,6,21,529,788,13,10,25,6,1,1,9,6,20,15,away,France-1
EintrachtFrankfurt,BayernMünchen," sexta-feira Agosto 5, 2022",1,6,0.37,0.63,0.74,0.87,0.25,0.43,15,16,2,0,0,0,10,11,5,6,15,14,498,783,6,3,15,16,4,3,9,4,15,11,home,Bundesliga
BayernMünchen,EintrachtFrankfurt," sexta-feira Agosto 5, 2022",6,1,0.63,0.37,0.87,0.74,0.43,0.25,16,15,0,2,0,0,11,10,6,5,14,15,783,498,3,6,16,15,3,4,4,9,11,15,away,Bundesliga
Wolfsburg,WerderBremen," sábado Agosto 6, 2022",2,2,0.61,0.39,0.77,0.66,0.27,0.4,13,20,2,2,0,0,11,14,2,5,16,12,709,516,13,20,13,20,1,4,4,11,37,17,home,Bundesliga
WerderBremen,Wolfsburg," sábado Agosto 6, 2022",2,2,0.39,0.61,0.66,0.77,0.4,0.27,20,13,2,2,0,0,14,11,5,2,12,16,516,709,20,13,20,13,4,1,11,4,17,37,away,Bundesliga
Augsburg,Freiburg," sábado Agosto 6, 2022",0,4,0.53,0.47,0.77,0.7,0.18,0.37,23,16,0,0,0,0,13,13,5,8,9,15,512,471,18,32,23,16,0,2,7,4,19,20,home,Bundesliga
Freiburg,Augsburg," sábado Agosto 6, 2022",4,0,0.47,0.53,0.7,0.77,0.37,0.18,16,23,0,0,0,0,13,13,8,5,15,9,471,512,32,18,16,23,2,0,4,7,20,19,away,Bundesliga
UnionBerlin,HerthaBSC," sábado Agosto 6, 2022",3,1,0.49,0.51,0.73,0.76,0.42,0.43,22,24,2,3,0,0,23,17,5,4,23,16,511,537,28,16,22,24,2,1,5,7,28,24,home,Bundesliga
HerthaBSC,UnionBerlin," sábado Agosto 6, 2022",1,3,0.51,0.49,0.76,0.73,0.43,0.42,24,22,3,2,0,0,17,23,4,5,16,23,537,511,16,28,24,22,1,2,7,5,24,28,away,Bundesliga
Mönchengladbach,Hoffenheim," sábado Agosto 6, 2022",3,1,0.61,0.39,0.86,0.76,0.39,0.5,9,17,1,4,0,0,18,12,5,1,21,9,734,494,8,9,9,17,2,2,2,4,16,13,home,Bundesliga
Hoffenheim,Mönchengladbach," sábado Agosto 6, 2022",1,3,0.39,0.61,0.76,0.86,0.5,0.39,17,9,4,1,0,0,12,18,1,5,9,21,494,734,9,8,17,9,2,2,4,2,13,16,away,Bundesliga
Bochum,Mainz05," sábado Agosto 6, 2022",1,2,0.59,0.41,0.77,0.66,0.19,0.46,16,20,2,3,0,0,11,16,3,5,24,19,686,513,17,24,16,20,1,1,8,8,17,27,home,Bundesliga
Mainz05,Bochum," sábado Agosto 6, 2022",2,1,0.41,0.59,0.66,0.77,0.46,0.19,20,16,3,2,0,0,16,11,5,3,19,24,513,686,24,17,20,16,1,1,8,8,27,17,away,Bundesliga
Dortmund,BayerLeverkusen," sábado Agosto 6, 2022",1,0,0.45,0.55,0.74,0.78,0.29,0.38,20,12,2,4,0,1,13,13,3,3,12,16,558,650,13,6,20,12,2,4,7,11,22,24,home,Bundesliga
BayerLeverkusen,Dortmund," sábado Agosto 6, 2022",0,1,0.55,0.45,0.78,0.74,0.38,0.29,12,20,4,2,1,0,13,13,3,3,16,12,650,558,6,13,12,20,4,2,11,7,24,22,away,Bundesliga
Stuttgart,RBLeipzig," domingo Agosto 7, 2022",1,1,0.33,0.67,0.71,0.81,0.18,0.32,31,9,2,1,0,0,14,9,1,9,4,29,456,738,15,14,31,9,1,2,10,7,18,21,home,Bundesliga
RBLeipzig,Stuttgart," domingo Agosto 7, 2022",1,1,0.67,0.33,0.81,0.71,0.32,0.18,9,31,1,2,0,0,9,14,9,1,29,4,738,456,14,15,9,31,2,1,7,10,21,18,away,Bundesliga
Köln,Schalke04," domingo Agosto 7, 2022",3,1,0.75,0.25,0.84,0.6,0.31,0.4,17,35,0,1,0,1,8,10,9,1,38,8,789,370,24,10,17,35,2,1,3,11,24,13,home,Bundesliga
Schalke04,Köln," domingo Agosto 7, 2022",1,3,0.25,0.75,0.6,0.84,0.4,0.31,35,17,1,0,1,0,10,8,1,9,8,38,370,789,10,24,35,17,1,2,11,3,13,24,away,Bundesliga
Freiburg,Dortmund," sexta-feira Agosto 12, 2022",1,3,0.39,0.61,0.68,0.82,0.44,0.46,16,26,1,3,0,0,16,10,9,2,29,15,454,662,20,23,16,26,3,2,10,6,21,19,home,Bundesliga
Dortmund,Freiburg," sexta-feira Agosto 12, 2022",3,1,0.61,0.39,0.82,0.68,0.46,0.44,26,16,3,1,0,0,10,16,2,9,15,29,662,454,23,20,26,16,2,3,6,10,19,21,away,Bundesliga
Hoffenheim,Bochum," sábado Agosto 13, 2022",3,2,0.59,0.41,0.8,0.74,0.5,0.45,14,16,1,1,0,0,14,10,8,2,21,15,591,461,14,14,14,16,2,2,10,7,20,20,home,Bundesliga
Bochum,Hoffenheim," sábado Agosto 13, 2022",2,3,0.41,0.59,0.74,0.8,0.45,0.5,16,14,1,1,0,0,10,14,2,8,15,21,461,591,14,14,16,14,2,2,7,10,20,20,away,Bundesliga
WerderBremen,Stuttgart," sábado Agosto 13, 2022",2,2,0.57,0.43,0.82,0.75,0.6,0.5,16,16,4,2,0,0,6,10,2,5,15,16,706,553,13,11,16,16,0,0,9,8,18,17,home,Bundesliga
Stuttgart,WerderBremen," sábado Agosto 13, 2022",2,2,0.43,0.57,0.75,0.82,0.5,0.6,16,16,2,4,0,0,10,6,5,2,16,15,553,706,11,13,16,16,0,0,8,9,17,18,away,Bundesliga
